"","state","commod1","n"
"732","Oregon","Cobalt",32
"733","Oregon","Contained or Metal",1
"734","Oregon","Copper",726
"735","Oregon","Gold",4510
"736","Oregon","Iridium",3
"737","Oregon","Iron",107
"738","Oregon","Lead",153
"739","Oregon","Lithium",2
"740","Oregon","Magnesite",4
"741","Oregon","Manganese",183
"742","Oregon","Mercury",632
"743","Oregon","Metal",24
"744","Oregon","Molybdenum",87
"745","Oregon","Nickel",131
"746","Oregon","Olivine",1
"747","Oregon","Osmium",1
"748","Oregon","Palladium",12
"749","Oregon","PGE",3
"750","Oregon","Platinum",38
"751","Oregon","Rhodium",5
"752","Oregon","Ruthenium",3
"753","Oregon","Silica",29
"754","Oregon","Silver",696
"755","Oregon","Sulfur-Pyrite",2
"756","Oregon","Tellurium",4
"757","Oregon","Thallium",2
"758","Oregon","Tin",3
"759","Oregon","Titanium",30
"760","Oregon","Tungsten",65
"761","Oregon","Uranium",148
"762","Oregon","Vanadium",2
"763","Oregon","Zinc",157
"764","Oregon","Zirconium",1
"765","Pennsylvania","Aluminum",4
"766","Pennsylvania","Beryllium",2
"767","Pennsylvania","Chromium",17
"768","Pennsylvania","Cobalt",3
"769","Pennsylvania","Copper",33
"770","Pennsylvania","Gold",3
"771","Pennsylvania","Iridium",2
"772","Pennsylvania","Iron",848
"773","Pennsylvania","Lead",38
"774","Pennsylvania","Magnesite",2
"775","Pennsylvania","Manganese",12
"776","Pennsylvania","Metal",2
"777","Pennsylvania","Molybdenum",6
"778","Pennsylvania","Nickel",3
"779","Pennsylvania","Niobium (Columbium)",4
"780","Pennsylvania","Osmium",1
"781","Pennsylvania","Palladium",3
"782","Pennsylvania","Platinum",4
"783","Pennsylvania","REE",3
"784","Pennsylvania","Rhodium",1
"785","Pennsylvania","Ruthenium",1
"786","Pennsylvania","Silica",2
"787","Pennsylvania","Silver",4
"788","Pennsylvania","Sulfur-Pyrite",1
"789","Pennsylvania","Tellurium",1
"790","Pennsylvania","Thorium",4
"791","Pennsylvania","Titanium",4
"792","Pennsylvania","Tungsten",2
"793","Pennsylvania","Uranium",4
"794","Pennsylvania","Vanadium",2
"795","Pennsylvania","Zinc",32
"796","Pennsylvania","Zirconium",5
"797","Puerto Rico","Aluminum",1
"798","Puerto Rico","Chromium",7
"799","Puerto Rico","Cobalt",7
"800","Puerto Rico","Copper",114
"801","Puerto Rico","Gold",27
"802","Puerto Rico","Iron",36
"803","Puerto Rico","Lead",7
"804","Puerto Rico","Manganese",14
"805","Puerto Rico","Metal",1
"806","Puerto Rico","Molybdenum",9
"807","Puerto Rico","Nickel",10
"808","Puerto Rico","Silica",7
"809","Puerto Rico","Silver",9
"810","Puerto Rico","Titanium",1
"811","Puerto Rico","Zinc",14
"812","Rhode Island","Arsenic",1
"813","Rhode Island","Gold",2
"814","Rhode Island","Iron",4
"815","Rhode Island","Manganese",1
"816","Rhode Island","Metal",1
"817","Rhode Island","Molybdenum",1
"818","Rhode Island","Titanium",3
"819","South Carolina","Aluminum",1
"820","South Carolina","Chromium",1
"821","South Carolina","Contained or Metal",1
"822","South Carolina","Copper",10
"823","South Carolina","Gold",258
"824","South Carolina","Iron",111
"825","South Carolina","Lead",2
"826","South Carolina","Manganese",15
"827","South Carolina","REE",5
"828","South Carolina","Silica",4
"829","South Carolina","Silver",6
"830","South Carolina","Tantalum",1
"831","South Carolina","Thorium",40
"832","South Carolina","Tin",9
"833","South Carolina","Titanium",57
"834","South Carolina","Zirconium",40
"835","South Dakota","Antimony",2
"836","South Dakota","Beryllium",8
"837","South Dakota","Copper",18
"838","South Dakota","Gold",486
"839","South Dakota","Iron",26
"840","South Dakota","Lead",20
"841","South Dakota","Lignite",4
"842","South Dakota","Lithium",16
"843","South Dakota","Manganese",8
"844","South Dakota","Molybdenum",3
"845","South Dakota","Niobium (Columbium)",1
"846","South Dakota","Rhenium",1
"847","South Dakota","Silica",2
