"","time","latitude","longitude","depth","mag","magType","gap","dmin","rms","id","updated","place","type","horizontalError","depthError","magError","locationSource","magSource"
"90","2021-12-08T00:17:46.132Z",44.3897,-129.3562,10,5.2,"mww",129,1.455,0.91,"us6000ga9m","2022-02-12T23:06:29.040Z","off the coast of Oregon","earthquake",4.7,1.9,0.033,"us","us"
"91","2021-12-08T00:16:56.854Z",-59.6909,-26.3981,35,5.2,"mww",37,18.053,0.77,"us6000ga9r","2022-02-12T23:06:29.040Z","South Sandwich Islands region","earthquake",11.2,1.9,0.093,"us","us"
"92","2021-12-07T21:57:57.617Z",44.3346,-129.5718,10,5.5,"mww",104,1.49,1.11,"us6000ga8s","2022-02-12T23:06:28.040Z","off the coast of Oregon","earthquake",8.5,1.8,0.03,"us","us"
"93","2021-12-07T21:30:16.386Z",44.3872,-129.5367,10,5.5,"mww",144,1.44,0.82,"us6000ga8i","2022-02-12T23:06:28.040Z","off the coast of Oregon","earthquake",8.4,1.8,0.025,"us","us"
"94","2021-12-07T19:43:48.426Z",10.4172,-62.3496,10,5.1,"mb",22,1.836,0.59,"us6000ga6a","2022-02-12T23:06:27.040Z","18 km SSW of G��iria, Venez","earthquake",6.9,1.8,0.037,"us","us"
"95","2021-12-07T17:15:56.594Z",10.4133,-62.3345,10,5.1,"mww",24,1.834,0.79,"us6000ga4p","2022-02-12T23:06:26.040Z","18 km SSW of G��iria, Venez","earthquake",7.2,1.7,0.093,"us","us"
"96","2021-12-07T16:26:26.987Z",-7.8284,123.086,267.73,5.2,"mww",28,1.161,0.94,"us6000ga40","2022-02-12T23:06:25.040Z","130 km NE of Maumere, Indonesia","earthquake",7,4.8,0.093,"us","us"
"97","2021-12-07T15:55:53.710Z",-57.4637,-25.7469,31,5.8,"mww",56,6.831,0.91,"us6000ga3a","2022-02-12T23:06:25.040Z","South Sandwich Islands region","earthquake",8.8,1.9,0.059,"us","us"
"98","2021-12-07T15:03:16.724Z",-28.3467,-176.3388,21.93,5.2,"mww",64,1.66,0.6,"us6000ga2s","2022-02-12T23:06:24.040Z","Kermadec Islands region","earthquake",9.5,4.4,0.066,"us","us"
"99","2021-12-07T10:27:59.866Z",-9.9665,161.0827,166.47,5.4,"mww",25,1.236,0.55,"us6000ga0c","2022-02-12T23:06:23.040Z","106 km WNW of Kirakira, Solomon Islands","earthquake",8.6,4.6,0.083,"us","us"
"100","2021-12-07T09:39:36.927Z",-18.5525,-71.0675,17.71,5.6,"mww",129,0.712,0.47,"us6000g9zp","2022-02-12T23:06:22.040Z","81 km W of Arica, Chile","earthquake",6.8,3.2,0.061,"us","us"
"101","2021-12-07T03:14:37.372Z",-38.5907,78.1617,10,5.2,"mww",63,0.92,0.81,"us6000g9za","2022-02-12T23:06:20.040Z","Mid-Indian Ridge","earthquake",8.5,1.8,0.089,"us","us"
"102","2021-12-07T02:44:04.516Z",-38.6184,78.1479,10,5.4,"mww",46,0.938,0.99,"us6000g9y1","2022-02-12T23:06:18.040Z","Mid-Indian Ridge","earthquake",8.3,1.8,0.068,"us","us"
